"","year","make","model","vclass","displ","tran","cyl","drive","fueltype","tcharger","scharger","guzzler","cty","hwy","cmb","pv","lv","country"
"1",2000,"BMW","Z8","Two Seaters",4.9,"Manual 6-spd","8","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,12,19,15,NA,NA," Germany"
"2",2000,"Dodge","Viper Convertible","Two Seaters",8,"Manual 6-spd","10","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,11,19,14,NA,NA," Italy/ United States"
"3",2000,"Dodge","Viper Coupe","Two Seaters",8,"Manual 6-spd","10","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,11,19,14,NA,NA," Italy/ United States"
"4",2000,"Ferrari","360 Modena/Spider","Two Seaters",3.6,"Manual 6-spd","8","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,10,15,11,NA,NA," Italy/ United States"
"5",2000,"Ferrari","360 Modena/Spider","Two Seaters",3.6,"Automatic (S6)","8","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,10,15,11,NA,NA," Italy/ United States"
"6",2000,"Ferrari","550 Maranello","Two Seaters",5.5,"Manual 6-spd","12","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,8,12,9,NA,NA," Italy/ United States"
"7",2000,"Lotus","Esprit.v8","Two Seaters",3.5,"Manual 5-spd","8","Rear-Wheel Drive","Premium",TRUE,FALSE,FALSE,14,21,16,NA,NA," Malaysia"
"8",2000,"Mercedes-Benz","SL500","Two Seaters",5,"Automatic 5-spd","8","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,14,21,17,50,8," Germany"
"9",2000,"Mercedes-Benz","SL600","Two Seaters",6,"Automatic 5-spd","12","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,12,18,14,50,8," Germany"
"10",2000,"Aston Martin","DB-7 Vantage Coupe","Minicompact Cars",5.9,"Automatic 5-spd","12","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,10,17,12,72,6," United Kingdom"
"11",2000,"Aston Martin","DB-7 Vantage Coupe","Minicompact Cars",5.9,"Manual 6-spd","12","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,10,17,12,72,6," United Kingdom"
"12",2000,"Aston Martin","DB-7 Vantage Volante","Minicompact Cars",5.9,"Automatic 5-spd","12","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,10,17,12,72,6," United Kingdom"
"13",2000,"Aston Martin","DB-7 Vantage Volante","Minicompact Cars",5.9,"Manual 6-spd","12","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,10,17,12,72,6," United Kingdom"
"14",2000,"Jaguar","XKR Convertible","Minicompact Cars",4,"Automatic 5-spd","8","Rear-Wheel Drive","Premium",FALSE,TRUE,FALSE,14,20,17,70,10," India"
"15",2000,"Bentley","Azure","Subcompact Cars",6.7,"Automatic 4-spd","8","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,10,15,12,82,7," Germany"
"16",2000,"Bentley","Continental SC","Subcompact Cars",6.7,"Automatic 4-spd","8","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,10,15,12,85,7," Germany"
"17",2000,"Bentley","Continental T","Subcompact Cars",6.7,"Automatic 4-spd","8","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,10,15,12,85,12," Germany"
"18",2000,"Ferrari","456 MGT/MGA","Subcompact Cars",5.5,"Automatic 4-spd","12","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,9,14,11,87,7," Italy/ United States"
